date,sector_id,name,type,main_net_yi,turnover_yi,pct_chg,main_ratio,hotscore,life,up_cnt,down_cnt,fund_streak
2026-09-09,BK0804,深股通,概念,-54.98,8710.8,-0.41,-0.63,35.3,观察,614.0,1225.0,0
2026-09-09,BK1333,LED,行业,-1.16,64.9,-1.28,-1.79,35.2,观察,7.0,22.0,0
2026-09-09,BK0895,维生素,概念,-4.05,89.4,-1.28,-4.53,35.2,观察,9.0,25.0,0
2026-09-09,BK0677,粤港自贸,概念,-4.95,178.5,-1.01,-2.77,35.2,观察,23.0,64.0,0
2026-09-09,BK1297,图片媒体,行业,-0.68,7.4,-4.28,-9.26,35.1,观察,0,1.0,0
2026-09-09,BK1400,制冷空调设备,行业,-1.18,62.0,-0.69,-1.91,35.1,观察,5.0,15.0,0
2026-09-09,BK1044,生物制品,行业,-2.03,120.3,-1.31,-1.69,35.1,观察,9.0,49.0,0
2026-09-09,BK0833,小米概念,概念,-2.03,1316.4,-0.74,-0.15,35.1,观察,59.0,173.0,0
2026-09-09,BK1344,产业地产,行业,-0.68,9.5,-1.02,-7.16,35.0,观察,1.0,10.0,0
2026-09-09,BK1292,广告媒体,行业,-0.47,5.7,-1.99,-8.16,34.7,观察,0,3.0,0
2026-09-09,BK0606,油气设服,概念,-3.77,165.8,-1.27,-2.28,34.7,观察,11.0,40.0,0
2026-09-09,BK1404,农用机械,行业,-0.63,10.4,-1.46,-6.12,34.6,观察,1.0,9.0,0
2026-09-09,BK1673,破增发价股,概念,-36.2,1727.9,-0.54,-2.1,34.6,观察,237.0,527.0,0
2026-09-09,BK1596,其他生物制品,行业,-1.51,87.2,-1.43,-1.73,34.5,观察,6.0,33.0,0
2026-09-09,BK0939,辅助生殖,概念,-4.03,116.4,-1.09,-3.46,34.4,观察,8.0,45.0,0
2026-09-09,BK1042,医药商业,行业,-1.32,29.4,-1.42,-4.48,34.3,观察,3.0,29.0,0
2026-09-09,BK0708,体育产业,概念,-3.64,133.7,-1.07,-2.72,34.3,观察,19.0,56.0,0
2026-09-09,BK1653,味蕾经济,概念,-16.82,301.9,-0.72,-5.57,34.3,观察,13.0,76.0,0
2026-09-09,BK1350,其他纺织,行业,-0.26,7.6,-1.0,-3.41,34.2,观察,1.0,12.0,0
2026-09-09,BK1607,医药流通,行业,-1.09,23.0,-1.62,-4.74,34.2,观察,1.0,23.0,0
2026-09-09,BK0548,生物疫苗,概念,-3.6,141.2,-1.02,-2.55,34.2,观察,13.0,58.0,0
2026-09-09,BK1672,破发股,概念,-10.84,616.3,-0.79,-1.76,34.1,观察,146.0,515.0,0
2026-09-09,BK1074,托育服务,概念,-0.09,9.0,-1.91,-0.98,34.0,观察,1.0,5.0,0
2026-09-09,BK1533,塑料包装,行业,-0.42,12.7,-1.24,-3.27,33.9,观察,1.0,8.0,0
2026-09-09,BK1201,电子,行业,-18.25,4176.2,-0.14,-0.44,33.9,观察,192.0,323.0,0
2026-09-09,BK1582,烘焙食品,行业,-0.42,5.1,-1.69,-8.36,33.8,观察,0,8.0,0
2026-09-09,BK1585,乳品,行业,-2.67,39.6,-1.96,-6.74,33.8,观察,1.0,17.0,0
2026-09-09,BK0921,卫星互联网,概念,-9.25,613.6,-0.71,-1.51,33.8,观察,33.0,66.0,0
2026-09-09,BK1623,钼,行业,-0.65,10.6,-0.16,-6.12,33.7,观察,1.0,2.0,0
2026-09-09,BK0664,婴童概念,概念,-6.62,226.9,-1.05,-2.91,33.7,观察,26.0,130.0,0
2026-09-09,BK1129,数字水印,概念,-0.99,39.0,-1.18,-2.55,33.6,观察,4.0,14.0,0
2026-09-09,BK0596,融资融券,概念,-65.46,16173.5,-0.41,-0.4,33.6,观察,1305.0,2481.0,0
2026-09-09,BK0738,多元金融,行业,-2.12,57.3,-0.98,-3.7,33.5,观察,8.0,15.0,0
